order_id,customer,product,quantity,price,timestamp
3260,Alice,Mouse,4,266.78,2026-06-01 16:50:37
2364,Bob,Laptop,4,454.04,2026-06-01 16:50:39
6146,Alice,Headphones,1,140.83,2026-06-01 16:50:41
9669,Alice,Keyboard,2,228.3,2026-06-01 16:50:43
2874,Charlie,Laptop,1,314.62,2026-06-01 16:50:45
7586,Bob,Phone,1,145.02,2026-06-01 16:50:47
9249,Alice,Keyboard,5,498.67,2026-06-01 16:50:49
9624,Alice,Laptop,4,130.62,2026-06-01 16:50:51
2074,Alice,Phone,1,265.43,2026-06-01 16:50:53
5438,Bob,Mouse,2,65.56,2026-06-01 16:54:34
4855,Bob,Mouse,2,242.35,2026-06-01 16:54:36
6068,Eve,Mouse,3,403.07,2026-06-01 16:54:38
5686,Charlie,Keyboard,3,459.98,2026-06-01 16:54:40
9472,Eve,Mouse,4,22.17,2026-06-01 16:54:42
6728,Charlie,Keyboard,2,190.68,2026-06-01 16:54:44
8224,Alice,Keyboard,5,465.77,2026-06-01 16:54:46
